developer,total_games,avg_positive_review_percentage,total_reviews
あうとさいど,3,99.76,338
Denny Truong,3,99.12,1513
Gemcraft Games,4,98.89,486
Devcats,7,98.73,13574
Flipline Studios,3,98.64,14671
scriptwelder,3,98.56,3429
柚原堂,3,98.48,482
EverCats,3,98.35,1536
GoBit Games,3,98.35,1128
HIROKO IMAKI,3,98.27,2824
Zeekerss,3,98.26,491589
Seal,4,98.22,1661
DU&I,5,98.15,16593
Viridino Studios,3,97.97,1044
Tambouille,3,97.9,1132
Rabbiton,3,97.88,2522
Solluco,3,97.83,191
insertdisc5,3,97.72,6923
MyGrandfather Games,3,97.64,546
Doot,3,97.61,6714
Matt Roszak,5,97.48,11769
Cabbage Soft,3,97.4,1224
Travellin Cats,7,97.33,5300
New Dawn Game Studio,3,97.12,170
LCB Game Studio,3,97.11,394
Skunkape Games,3,97.09,2419
Zima software,4,97.05,1151
Remix Games,3,97.0,250
Kyle Thompson,3,96.97,4042
etherane,4,96.96,5740
VISUAL ARTS/Key,5,96.88,821
Stuffed Wombat,5,96.74,2408
minori,6,96.73,5346
Beautiful Glitch,4,96.71,24527
Adventure Islands,5,96.7,475
Qruppo,3,96.64,5901
KAIJYU-09,3,96.64,2767
sodaraptor,3,96.63,1388
#workshop,3,96.61,9488
YUZUSOFT,5,96.58,54120
Emberheart Games,5,96.58,1084
Team9,3,96.57,10577
Follow the fun,9,96.55,5419
CAVE Interactive CO.,3,96.42,2929
Rusty Lake,9,96.41,76735
StellarXiela,3,96.41,415
王韋,3,96.38,757
Pugstorm,3,96.35,55215
Very Very LITTLE Studio,11,96.27,2841
PixelFade,5,96.24,3824
SnoutUp,4,96.08,18877
Corey Martin,3,96.07,625
Afterburn,3,95.99,4372
Pinel Games,5,95.94,889
SlimeSmile,5,95.92,2170
Madison Karrh,3,95.86,4415
Joe Richardson,4,95.83,3165
Walaber Entertainment LLC,4,95.83,2488
Siactro,5,95.8,5195
NEKO WORKs,7,95.74,82889
Two and a Half Studios,4,95.73,11093
07th Expansion,14,95.68,15876
Silver Dollar Games,3,95.64,20875
Suspicious Developments,5,95.58,33997
Grace Bruxner,3,95.55,8852
Applique,3,95.51,4417
Lose,5,95.45,9741
Talia bob Mair,4,95.45,7936
PiHoEntertainment,3,95.45,1670
Daniel Mullins Games,3,95.4,154029
NOVECT,3,95.4,6861
くそいサイト,4,95.33,588
BIFROST CLOUD PTE. LTD.,3,95.28,447
Odencat,4,95.26,2078
The Gentlebros,3,95.18,18833
InterAction studios,5,95.18,6006
Captain Games,3,95.13,2013
torcado,3,95.09,3203
VisualArts/Key,10,95.07,23248
Nukearts Studio,10,95.07,2555
