genre,total_games,avg_positive_review_percentage,avg_total_reviews
Game Development,75,82.35,1482.13
Casual,10254,79.62,1906.16
Web Publishing,46,79.4,1333.24
Photo Editing,38,79.37,25034.79
Adventure,13189,79.12,4538.33
Indie,21073,79.05,2715.17
Design & Illustration,162,78.84,6893.1
RPG,6837,77.93,5657.5
Animation & Modeling,136,77.27,8275.15
Action,12854,77.22,7924.12
Education,67,76.8,1158.16
Strategy,6674,76.47,3747.28
Simulation,7341,76.27,4027.15
Free To Play,2671,76.22,12313.0
Sports,1320,76.07,3561.74
Sexual Content,40,75.97,207.6
Racing,1060,75.55,3636.72
Utilities,247,75.33,4869.39
Audio Production,62,74.35,1937.27
Early Access,2223,74.16,3474.36
Video Production,82,74.06,2065.48
Software Training,51,73.03,686.2
Nudity,37,71.13,319.35
Massively Multiplayer,942,67.4,15337.76
Violent,127,64.9,300.39
Gore,87,62.67,311.39
