release_year,total_releases,avg_price_usd,avg_positive_review_percentage
1997,2,1.25,89.84
1998,1,1.99,96.54
1999,2,1.24,91.16
2000,2,1.61,90.09
2001,4,3.87,90.01
2002,1,4.94,87.47
2003,3,4.16,81.97
2004,6,1.66,89.1
2005,7,2.83,84.83
2006,69,3.15,84.21
2007,90,2.84,81.17
2008,158,3.74,76.6
2009,321,4.84,76.99
2010,255,3.51,74.93
2011,260,3.92,73.49
2012,322,4.22,75.9
2013,467,4.71,75.27
2014,1523,4.24,69.61
2015,2515,4.27,69.67
2016,4140,4.28,70.95
2017,5920,4.42,70.06
2018,7461,4.29,70.08
2019,7242,4.59,73.12
2020,8804,4.52,75.61
2021,11067,4.55,75.71
2022,12284,4.72,76.93
2023,14596,5.0,78.01
2024,20031,5.07,80.75
2025,24973,5.08,83.98
2026,84,5.01,
