developer,total_games,avg_price_usd,avg_positive_review_percentage,total_reviews
EroticGamesClub,231,1.76,,0
Choice of Games,179,4.42,72.98,9616
Boogygames Studios,157,0.57,65.94,1340
Laush Dmitriy Sergeevich,150,0.9,75.6,5900
Creobit,139,7.97,59.02,4891
Bully Revenge Studios,135,1.18,,0
Gamesforgames,123,3.71,65.35,2954
Hosted Games,118,4.54,72.65,6086
Cyber Keks,117,0.51,48.89,45
KOEI TECMO GAMES CO.,114,25.63,74.96,321441
Sokpop Collective,110,1.96,70.05,7451
Tero Lunkka,106,0.63,64.93,3963
Archor Wright,99,0.69,61.81,1231
Do Games Limited,99,6.42,56.5,688
Square Enix,96,15.58,77.92,686532
Hede,96,187.65,34.39,1492
Blender Games,93,0.96,68.58,5241
King Kong,93,0.81,40.0,6
Elephant Games,89,4.88,79.95,2193
Follow the fun,84,1.58,97.14,6211
Dnovel,84,3.08,74.8,2402
Cute Hannah's Games,82,0.89,54.26,160
EpiXR Games UG,77,5.04,87.48,1792
Blessing Company,76,1.28,59.3,1504
IR Studio,73,0.49,66.59,578
SAT-BOX,72,4.54,70.28,436
CyberStep,71,11.03,43.21,2760
RewindApp,70,0.73,63.49,32783
Somer Games,70,7.63,61.08,1222
magnussoft,63,8.12,58.65,123
Anamik Majumdar,63,0.82,43.69,499
Miel,63,6.96,,0
Ripknot Systems,62,1.34,51.12,5430
NaipSoft,61,0.52,100.0,12
G-MODE,61,6.55,90.27,1659
LTZinc,61,0.68,65.92,1231
Kairosoft Co.,60,5.13,86.32,10169
AMAX Interactive,60,4.38,84.19,475
Dharker Studios,60,4.34,65.43,4005
Individual Software,58,11.93,57.21,177
Eipix Entertainment,55,4.9,85.79,790
William at Oxford,55,2.09,44.62,651
Nikita Ghost_RUS,54,0.51,52.73,5622
EGC Games,54,0.93,48.16,148
owlyboi,54,0.66,,0
Piece Of Voxel,53,0.93,58.38,889
Winged Cloud,52,3.08,85.21,39346
Hard Shark Games,52,2.91,41.48,169
GentleDriver,51,0.59,,0
Lovely Games,50,3.04,77.49,18365
Snkl Studio,50,0.47,74.07,2860
Kotovodk Studio,48,0.49,83.33,48
橙光游戏,48,5.82,79.26,3244
NanningsGames,48,0.82,77.9,3492
Stegalosaurus Game Development,48,5.56,72.65,251
hgmGame,47,15.52,92.86,8
ebi-hime,47,5.28,90.59,5934
LGT SIA,46,6.95,92.65,132
PUZZLE Games,46,190.1,65.04,101
Hentai works,46,0.63,,0
Nihon Falcom,45,20.89,90.18,67351
Casual Arts,45,7.16,86.17,126
Exe Create Inc.,45,9.08,73.27,600
Yusuf Islam Seyhan,45,0.5,46.51,1231
UwU,45,1.62,,0
Alawar Casual,44,2.12,90.23,2609
MAGES. Inc.,44,12.31,84.77,46717
Octo Games,44,2.2,,0
CAPCOM Co.,43,12.27,85.12,2056623
STuNT,43,0.55,61.71,964
Milestone S.r.l.,41,4.2,76.93,65314
Quantum Quiver Games,41,0.95,,0
Winter Wolves,40,5.7,71.7,2894
Hell Bomb Studio,40,1.08,,0
EnsenaSoft,39,2.91,49.04,4080
Hentai Panda,39,2.13,,0
Zoo Corporation,38,2.8,76.82,6037
Top-Down Games,38,199.99,65.75,163
Cute Pen Games,38,1.29,59.6,20
Wolverine Studios,38,5.62,57.57,662
100 Cozy Games,37,0.79,97.06,34
Anatoliy Loginovskikh,37,0.95,84.29,14913
Arc System Works,37,6.14,71.9,188566
HexWar Games,37,10.75,62.46,1094
MAGIX Software GmbH,37,18.88,58.93,4283
QuickBobber,37,1.29,58.82,24
Seven Sails Games,37,2.23,56.59,105
Valve,36,1.47,88.21,15688937
FIVE-BN GAMES,36,6.6,87.9,15540
Humongous Entertainment,36,3.4,84.35,7966
Idea Factory,36,9.18,79.94,36999
Error 300,35,3.0,91.86,609
Qumaron,35,2.36,81.06,1555
Domini Games,35,5.22,78.9,398
Slippy Floor,35,0.7,63.6,291
Racing Bros,35,0.49,49.29,9924
beans rolls,35,0.59,43.39,322
Frontwing,34,10.43,92.0,30992
