app_id,genre
496350,Adventure
1034400,Casual
3292190,Casual
3292190,Indie
3292190,Simulation
3631080,Action
3631080,Early Access
1654170,Action
1654170,Adventure
1934300,Simulation
1934300,Strategy
700340,Action
700340,Indie
1157670,Casual
1157670,Indie
1540330,Action
1540330,Casual
1540330,Indie
1540330,Strategy
1108640,Adventure
1108640,Indie
1025440,Strategy
2113450,Casual
2113450,Indie
2922740,Adventure
2922740,Casual
2922740,Indie
1282900,RPG
2517090,Action
328460,Action
328460,Racing
2260230,Action
2260230,Adventure
2260230,Indie
2260230,Free To Play
2260230,Early Access
2403000,Casual
2713630,Casual
2713630,Indie
2713630,Simulation
1607040,Indie
1607040,Strategy
815170,Action
815170,Adventure
815170,Indie
815170,RPG
2072070,RPG
2072070,Strategy
688420,Action
688420,Indie
688420,Simulation
657010,Casual
657010,Free To Play
3281190,Action
3281190,Adventure
3281190,Casual
3281190,Indie
3281190,Sports
2260360,Action
2260360,Casual
1514380,Action
496910,Audio Production
2334500,Action
2334500,Casual
2334500,Indie
2075820,Action
2075820,Casual
2075820,Indie
2075820,Strategy
334030,Free To Play
334030,Indie
334030,Strategy
1479370,Action
1479370,Indie
1784820,Action
1784820,Casual
1784820,Indie
1784820,RPG
1784820,Strategy
1784820,Early Access
3098390,Indie
3098390,Early Access
2808780,Action
2808780,Adventure
2731180,Action
1186670,Action
830470,Action
830470,Casual
830470,Indie
416790,Action
416790,Indie
416790,RPG
3740060,Adventure
3740060,Casual
3740060,RPG
3854040,Adventure
3854040,Casual
3854040,Indie
3854040,Simulation
2310500,Action
2310500,Indie
2310500,Free To Play
2641000,Action
2641000,Adventure
2641000,Indie
3797720,Casual
3797720,Indie
3797720,RPG
1814060,Action
1814060,Adventure
1814060,Indie
3297500,Strategy
3413300,Adventure
3413300,Casual
3413300,Indie
3215680,Action
3215680,Adventure
3215680,Indie
672230,Adventure
672230,Indie
1110050,Adventure
1110050,Casual
1110050,Indie
1679730,Casual
2213070,RPG
1312060,Indie
1225710,Action
1225710,Indie
2745650,Casual
2745650,Indie
1458550,Adventure
1458550,Indie
1458550,Simulation
3491950,Casual
3491950,Simulation
2418380,Casual
2558620,Action
2558620,Early Access
1760420,Action
1760420,Indie
715560,Adventure
715560,Indie
690840,Casual
690840,Indie
849178,Action
849178,Adventure
1288940,Casual
1288940,Indie
1288940,Simulation
1288940,Early Access
375510,Adventure
375510,Indie
375510,RPG
375510,Early Access
2921180,Casual
2921180,Indie
2921180,Simulation
2285640,Action
2285640,Adventure
2285640,Indie
2285640,RPG
2948750,Casual
2948750,Indie
2251810,Casual
2251810,Indie
3371770,Action
3371770,Early Access
2404170,Adventure
2404170,Indie
2404170,RPG
2404170,Simulation
2404170,Strategy
1375300,Action
1375300,Indie
1375300,Massively Multiplayer
370560,Casual
370560,Simulation
4063660,Action
4063660,Casual
4063660,Indie
3976870,Adventure
3976870,Indie
867790,Action
867790,Indie
867790,Simulation
1555110,Adventure
1871390,Animation & Modeling
1871390,Video Production
1871390,Early Access
3050490,Action
2997980,Casual
2997980,RPG
1420650,Action
1420650,Indie
3358520,Casual
1512170,Action
1512170,Indie
1555080,Action
1555080,Casual
1555080,Indie
3528950,Casual
3528950,Indie
808450,Violent
808450,Gore
808450,Action
808450,Casual
808450,Indie
1133260,Casual
1133260,Indie
1605440,Adventure
1605440,Casual
1605440,Indie
1605440,Early Access
3466680,RPG
375500,RPG
914710,Action
914710,Adventure
914710,Indie
914710,RPG
1952770,Action
1952770,Casual
1952770,Massively Multiplayer
1952770,Strategy
2756570,Action
2756570,Casual
2756570,Indie
2874130,Action
2874130,Indie
374640,Indie
374640,Simulation
374640,Strategy
1030520,Casual
1030520,Indie
290730,Casual
290730,Free To Play
290730,Indie
290730,Massively Multiplayer
290730,Strategy
2651550,Adventure
2651550,Casual
2651550,Simulation
259190,Action
259190,Adventure
3569510,Adventure
3569510,Indie
3569510,Free To Play
2057490,Casual
2057490,Early Access
2569500,Simulation
3090800,Casual
3090800,Indie
1337260,Simulation
1337260,Strategy
861760,Sexual Content
861760,Nudity
861760,Adventure
861760,Indie
1010420,Action
1010420,Casual
1010420,Indie
1010420,Massively Multiplayer
3245410,Casual
3245410,Indie
3799320,Action
3799320,Adventure
3799320,Indie
1024330,Adventure
1024330,Free To Play
1024330,Indie
